                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.79365,                0.51102,                 1.1007,                0.85282,                0.92263,                0.94264,                0.73616,                0.85647,                0.54309,                 1.2225,              0.0010274,              0.0010274,              0.0010274
                     79,                 0.7575,                0.45177,                   1.05,                  0.754,                0.93375,                0.83709,                0.64665,                0.90603,                0.86023,                 1.2475,              0.0010263,              0.0010263,              0.0010263
                     80,                0.76624,                0.45575,                   1.08,                0.81781,                0.92348,                0.90585,                0.70702,                0.85825,                 0.6305,                 1.2383,              0.0010252,              0.0010252,              0.0010252
                     81,                0.73565,                0.47854,                 1.0437,                 0.9695,                0.99704,                  0.995,                0.78498,                0.85259,                0.36078,                 1.2207,              0.0010241,              0.0010241,              0.0010241
                     82,                0.76592,                0.48267,                 1.0568,                0.97951,                0.98163,                0.99447,                0.77373,                0.91254,                0.38866,                   1.27,               0.001023,               0.001023,               0.001023
                     83,                 0.8088,                  0.501,                 1.0941,                 0.9796,                0.97962,                0.99447,                0.76866,                 0.8743,                0.38127,                  1.246,              0.0010219,              0.0010219,              0.0010219
                     84,                0.78233,                 0.4799,                 1.1281,                0.86113,                0.94806,                0.98466,                0.76744,                0.90714,                0.44473,                 1.2654,              0.0010208,              0.0010208,              0.0010208
                     85,                0.75286,                0.43481,                 1.0482,                 0.8853,                0.92682,                0.96805,                0.76212,                0.85997,                0.45622,                 1.2112,              0.0010197,              0.0010197,              0.0010197
                     86,                0.77319,                0.46886,                  1.054,                0.90758,                0.99989,                0.97092,                0.76135,                0.89187,                0.36005,                 1.2443,              0.0010186,              0.0010186,              0.0010186
                     87,                0.78469,                0.50113,                 1.0489,                0.97929,                 0.9905,                  0.995,                0.78023,                0.91191,                0.36287,                 1.2827,              0.0010175,              0.0010175,              0.0010175
                     88,                0.74161,                0.44076,                 1.0497,                0.98428,                0.99802,                  0.995,                0.77842,                0.92493,                0.36011,                  1.287,              0.0010164,              0.0010164,              0.0010164
                     89,                0.71043,                0.39852,                 1.0476,                0.97172,                 0.9913,                0.99195,                0.79503,                0.84994,                0.34946,                 1.2137,              0.0010153,              0.0010153,              0.0010153
